ActivityDate,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesAsleep,TotalTimeInBed
2016-03-12,2771.5,2383.5,0.0,0.0,127.0,1098.5,,
2016-03-13,1613.0,2128.5,0.0,0.0,68.0,1105.5,,
2016-03-14,5728.0,2511.5,15.0,3.5,140.0,1136.5,,
2016-03-15,2953.0,2396.0,0.0,5.0,107.5,1157.0,,
2016-03-16,7311.0,2882.5,12.5,21.0,162.0,998.0,,
2016-03-17,4470.0,2741.0,0.0,0.0,23.5,1213.0,,
2016-03-18,658.5,1947.0,0.0,0.0,17.0,1423.0,,
2016-03-19,2851.0,2378.5,0.0,0.0,0.0,1440.0,,
2016-03-20,5187.0,2755.0,0.0,0.0,1.0,1439.0,,
2016-03-21,5719.0,2663.0,0.0,0.0,23.0,1417.0,,
2016-03-22,6111.5,2729.0,0.0,0.0,84.5,1355.5,,
2016-03-23,6774.0,2812.0,3.5,3.5,95.0,1338.0,,
2016-03-24,979.0,1883.5,0.0,0.0,0.5,1439.5,,
2016-03-25,4594.25,2162.25,8.25,3.0,81.5,1250.75,,
2016-03-26,5698.5,2159.5,22.25,4.25,80.25,1215.25,,
2016-03-27,6035.0,2202.25,14.0,1.25,116.5,1181.75,,
2016-03-28,4312.5,2265.5,17.5,16.25,98.75,1288.25,,
2016-03-29,4760.6,2114.8,3.7,9.9,145.9,1050.0,,
2016-03-30,6246.727272727273,2193.3636363636365,6.909090909090909,13.636363636363637,170.0909090909091,1043.3636363636363,,
2016-03-31,5905.272727272727,2160.7272727272725,10.181818181818182,8.909090909090908,169.9090909090909,1014.8181818181819,,
2016-04-01,6496.558823529412,2346.264705882353,16.852941176470587,29.970588235294116,183.41176470588235,1000.4705882352941,,
2016-04-02,7345.942857142857,2371.0857142857144,21.457142857142856,14.457142857142857,205.62857142857143,962.8,,
2016-04-03,6178.228571428572,2249.714285714286,18.8,11.714285714285714,164.57142857142858,1041.1142857142856,,
2016-04-04,7345.314285714286,2263.2571428571428,21.114285714285714,10.914285714285715,170.5142857142857,1041.8,,
2016-04-05,7165.0,2302.942857142857,20.4,14.0,208.65714285714284,994.5714285714286,,
2016-04-06,7988.787878787879,2381.878787878788,21.424242424242426,15.090909090909092,204.27272727272728,981.2727272727273,,
2016-04-07,7660.727272727273,2341.757575757576,21.96969696969697,18.09090909090909,185.21212121212122,1035.6060606060605,,
2016-04-08,7614.090909090909,2320.3939393939395,17.03030303030303,17.90909090909091,194.36363636363637,1064.5151515151515,,
2016-04-09,7518.3125,2177.15625,18.21875,13.15625,202.5,925.34375,,
2016-04-10,6282.724137931034,2025.896551724138,13.482758620689655,8.551724137931034,186.6551724137931,926.6206896551724,,
2016-04-11,7473.36,2182.8,18.0,10.12,199.32,940.44,,
2016-04-12,1761.625,633.1666666666666,8.708333333333334,1.9166666666666667,29.583333333333332,488.875,443.8333333333333,483.1666666666667
